location,time,average,high,low
270,20001003,39,50,20
270,20001004,41,60,10
270,20001005,38,60,20
270,20001006,37,70,20
270,20001007,34,50,20
270,20001008,45,70,20
270,20001009,43,70,20
270,20001010,85,110,70
270,20001011,88,110,60
270,20001012,66,90,40
270,20001013,41,70,20
270,20001014,32,50,10
270,20001015,40,80,20
270,20001016,58,110,20
270,20001017,37,60,20
270,20001018,58,70,30
270,20001019,34,50,10
270,20001020,49,70,10
270,20001021,43,60,30
270,20001022,31,40,10
270,20001023,55,80,40
270,20001024,69,100,40
270,20001025,86,120,50
270,20001026,62,80,40
270,20001027,56,80,30
270,20001028,62,100,20
270,20001029,101,140,70
270,20001030,132,170,100
270,20001031,85,110,50
270,20001101,77,110,60
270,20001102,75,100,50
270,20001103,65,90,30
270,20001104,48,70,30
270,20001105,54,80,40
270,20001106,82,100,60
270,20001107,53,70,40
270,20001108,78,100,70
270,20001109,70,80,50
270,20001110,50,60,30
270,20001111,80,100,60
270,20001112,71,90,50
270,20001113,45,70,30
270,20001114,36,50,20
270,20001115,48,70,30
270,20001116,68,90,40
270,20001117,38,50,30
270,20001118,64,110,30
270,20001119,68,110,20
270,20001120,48,70,30
270,20001121,65,80,50
270,20001122,78,100,60
270,20001123,55,70,40
270,20001124,47,70,30
270,20001125,69,100,40
270,20001126,63,90,40
270,20001127,47,60,40
270,20001128,64,80,50
270,20001129,53,60,40
270,20001130,45,70,30
270,20001201,59,70,40
270,20001202,44,70,20
270,20001203,39,70,20
270,20001204,69,90,40
270,20001205,64,80,40
270,20001206,53,70,40
270,20001207,53,80,40
270,20001208,82,90,70
270,20001209,75,90,60
270,20001210,68,90,20
270,20001211,81,120,50
270,20001212,89,110,70
270,20001213,125,150,100
270,20001214,77,110,40
270,20001215,79,100,40
270,20001216,56,100,30
270,20001217,32,50,20
270,20001218,28,40,10
270,20001219,40,70,10
270,20001220,76,80,70
270,20001221,64,80,50
270,20001222,29,50,10
270,20001223,22,30,10
270,20001224,31,70,10
270,20001225,45,80,20
270,20001226,39,60,20
270,20001227,33,50,10
270,20001228,36,60,10
270,20001229,60,80,50
270,20001230,34,50,20
270,20001231,41,80,20
270,20010101,75,100,50
270,20010102,65,90,50
270,20010103,57,90,40
270,20010104,73,90,60
270,20010105,69,80,50
270,20010106,55,80,20
270,20010107,59,70,40
270,20010108,48,70,30
270,20010109,37,50,20
270,20010110,37,60,10
270,20010111,29,60,10
270,20010112,19,40,10
270,20010113,23,30,10
270,20010114,40,70,10
270,20010115,52,60,40
270,20010116,31,40,20
270,20010117,26,30,20
270,20010118,21,40,10
270,20010119,15,30,10
270,20010120,16,30,0
270,20010121,47,70,20
270,20010122,59,70,50
270,20010123,67,100,40
270,20010124,78,100,40
270,20010125,54,70,40
270,20010126,55,70,40
270,20010127,38,60,20
270,20010128,19,30,10
270,20010129,21,40,10
270,20010130,21,30,10
270,20010131,20,30,10
270,20010201,24,40,0
270,20010202,45,60,10
270,20010203,72,80,60
270,20010204,60,90,30
270,20010205,60,90,30
270,20010206,78,110,40
270,20010207,64,90,40
270,20010208,65,90,30
270,20010209,28,50,10
270,20010210,41,80,10
270,20010211,96,120,80
270,20010212,65,110,30
270,20010213,40,70,10
270,20010214,13,20,10
270,20010215,15,30,10
270,20010216,34,50,10
270,20010217,40,60,10
270,20010218,38,60,20
270,20010219,54,70,30
270,20010220,60,80,40
270,20010221,62,80,50
270,20010222,78,100,50
270,20010223,50,70,20
270,20010224,36,70,10
270,20010225,32,60,10
270,20010226,34,50,10
270,20010227,50,70,30
270,20010228,47,80,30
270,20010301,44,60,20
270,20010302,43,60,20
270,20010303,33,50,20
270,20010304,49,70,20
270,20010305,23,30,10
270,20010306,55,70,40
