Country;Indicator;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Bolivia (Plurinational State of);Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;38.8;39.6;0;0;0;0;0;0;0;63.2;62.7;0;0
;Researchers (FTE) - Natural sciences %;27;28;28;0;0;0;0;0;0;48.9;33.6;0;0
;Researchers (FTE) - Engineering and technology %;20;22;22;0;0;0;0;0;0;19.5;19.7;0;0
;Researchers (FTE) - Medical and health sciences %;24;21;21;0;0;0;0;0;0;9.6;12.3;0;0
;Researchers (FTE) - Agricultural sciences %;13;14;14;0;0;0;0;0;0;9.2;13.4;0;0
;Researchers (FTE) - Social sciences %;12;10;10;0;0;0;0;0;0;11.6;16.1;0;0
;Researchers (FTE) - Humanities %;4;5;5;0;0;0;0;0;0;1.6;4.8;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Bosnia and Herzegovina;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;33.9
;Researchers (HC) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;34.5
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;10.2
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;45.9
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;1.5
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;19.6
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;8.3
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;12.9
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;1.7
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;49.7
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;28.7
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;50
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;43.4
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;38
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;21.4
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;30
